algorithm,k,g,# of nodes,runtime,nodes
EPA,9,7,21,0.02064228057861328,
EPA,4,5,211,0.011657476425170898,
EPA,2,8,183,0.012132644653320312,
EPA,5,5,204,0.011636495590209961,
EPA,5,9,22,0.020675182342529297,
EPA,8,7,22,0.020639896392822266,
EPA,2,3,242,0.01122903823852539,
EPA,3,9,124,0.014961719512939453,
EPA,3,6,201,0.011872053146362305,
EPA,6,5,193,0.012214899063110352,
EPA,4,7,159,0.01337432861328125,
EPA,3,4,230,0.011325359344482422,
EPA,4,3,237,0.011354207992553711,
EPA,8,3,218,0.011649370193481445,
EPA,9,3,213,0.011721611022949219,
EPA,8,4,200,0.011962890625,
EPA,2,9,157,0.01334691047668457,
EPA,9,5,93,0.016645431518554688,
EPA,3,7,181,0.012563943862915039,
EPA,6,9,0,0.0221712589263916,
EPA,4,2,242,0.011202812194824219,
EPA,7,8,0,0.021986722946166992,
EPA,5,4,215,0.011564016342163086,
EPA,2,6,213,0.011432409286499023,
EPA,7,2,239,0.011321544647216797,
EPA,5,6,171,0.013120174407958984,
EPA,7,4,205,0.01181340217590332,
EPA,3,5,218,0.011501312255859375,
EPA,4,9,79,0.017405986785888672,
EPA,8,6,62,0.018643856048583984,
EPA,5,2,242,0.011153936386108398,
EPA,8,5,153,0.013799190521240234,
EPA,9,8,0,0.02216315269470215,
EPA,7,6,93,0.016725778579711914,
EPA,4,6,186,0.012408256530761719,
EPA,7,9,0,0.02183246612548828,
EPA,8,9,0,0.022800445556640625,
EPA,7,3,226,0.0116729736328125,
EPA,9,4,191,0.01245570182800293,
EPA,6,2,242,0.011383771896362305,
EPA,5,3,235,0.011301279067993164,
EPA,9,9,0,0.02158379554748535,
EPA,9,6,25,0.020795345306396484,
EPA,2,2,242,0.011449098587036133,
EPA,7,7,41,0.019575119018554688,
EPA,5,8,83,0.017153024673461914,
EPA,2,4,238,0.011076211929321289,
EPA,5,7,130,0.014561653137207031,
EPA,2,5,225,0.011388063430786133,
EPA,6,4,210,0.011829614639282227,
EPA,6,6,144,0.014269590377807617,
EPA,7,5,177,0.012595653533935547,
EPA,8,2,239,0.011289358139038086,
EPA,9,2,237,0.011538267135620117,
EPA,3,2,242,0.011341571807861328,
EPA,4,8,122,0.014821529388427734,
EPA,6,3,232,0.011388301849365234,
EPA,3,3,239,0.011155843734741211,
EPA,3,8,149,0.013796091079711914,
EPA,4,4,218,0.011696577072143555,
EPA,8,8,0,0.022457361221313477,
EPA,2,7,201,0.011759281158447266,
EPA,6,8,18,0.021201610565185547,
EPA,6,7,108,0.015531301498413086,
